Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
2,00-17,2021-05-29 19:05:02,5252.999999999974
2,18-19,2021-05-29 19:05:02,8485.61309523815
2,20-24,2021-05-29 19:05:02,22116.008333333655
2,25-29,2021-05-29 19:05:02,27856.8982600729
2,30-34,2021-05-29 19:05:02,47113.125974026254
2,35-39,2021-05-29 19:05:02,72759.90872297679
2,40-44,2021-05-29 19:05:02,90542.45340471662
2,45-49,2021-05-29 19:05:02,97967.76784316388
2,50-54,2021-05-29 19:05:02,88800.52348484808
2,55-59,2021-05-29 19:05:02,97498.37143134547
2,60-64,2021-05-29 19:05:02,59315.929186826004
2,65-69,2021-05-29 19:05:02,33305.89025974029
2,70-74,2021-05-29 19:05:02,11004.617460317493
2,75-79,2021-05-29 19:05:02,5369.166666666665
2,80-84,2021-05-29 19:05:02,2964.466666666664
2,85-n,2021-05-29 19:05:02,1674.000000000002
1,00-17,2021-05-30 19:05:03,12865.000000000038
1,18-19,2021-05-30 19:05:03,11267.666666666662
1,20-24,2021-05-30 19:05:03,24801.583333333347
1,25-29,2021-05-30 19:05:03,17228.00000000001
1,30-34,2021-05-30 19:05:03,9941.333333333347
1,35-39,2021-05-30 19:05:03,4374.9999999999945
1,40-44,2021-05-30 19:05:03,2032.8333333333335
1,45-49,2021-05-30 19:05:03,926.4999999999999
1,50-54,2021-05-30 19:05:03,631.9999999999998
1,55-59,2021-05-30 19:05:03,578.0000000000002
1,60-64,2021-05-30 19:05:03,434.7499999999996
1,65-69,2021-05-30 19:05:03,193.7499999999998
1,70-74,2021-05-30 19:05:03,104.49999999999997
1,75-79,2021-05-30 19:05:03,36.999999999999986
1,80-84,2021-05-30 19:05:03,23.0
1,85-n,2021-05-30 19:05:03,11.0
2,00-17,2021-05-30 19:05:03,5433.999999999976
2,18-19,2021-05-30 19:05:03,8814.613095238135
2,20-24,2021-05-30 19:05:03,24867.00833333362
2,25-29,2021-05-30 19:05:03,30415.898260073467
2,30-34,2021-05-30 19:05:03,55041.12597402603
2,35-39,2021-05-30 19:05:03,75232.90872297624
2,40-44,2021-05-30 19:05:03,91907.55340471661
2,45-49,2021-05-30 19:05:03,98763.76784316453
2,50-54,2021-05-30 19:05:03,89362.5234848481
2,55-59,2021-05-30 19:05:03,97859.87143134557
2,60-64,2021-05-30 19:05:03,59501.726805873455
2,65-69,2021-05-30 19:05:03,33513.306926406956
2,70-74,2021-05-30 19:05:03,11152.11746031753
2,75-79,2021-05-30 19:05:03,5434.66666666666
2,80-84,2021-05-30 19:05:03,3014.4666666666667
2,85-n,2021-05-30 19:05:03,1694.0000000000011
1,00-17,2021-05-31 19:05:02,12895.00000000005
1,18-19,2021-05-31 19:05:02,11270.666666666668
1,20-24,2021-05-31 19:05:02,25093.58333333341
1,25-29,2021-05-31 19:05:02,17915.000000000044
1,30-34,2021-05-31 19:05:02,11051.333333333348
1,35-39,2021-05-31 19:05:02,5339.999999999988
1,40-44,2021-05-31 19:05:02,2788.8333333333294
1,45-49,2021-05-31 19:05:02,1412.4999999999998
1,50-54,2021-05-31 19:05:02,929.9999999999999
1,55-59,2021-05-31 19:05:02,958.9999999999997
1,60-64,2021-05-31 19:05:02,595.7499999999997
1,65-69,2021-05-31 19:05:02,255.75000000000006
1,70-74,2021-05-31 19:05:02,149.5
1,75-79,2021-05-31 19:05:02,50.999999999999986
1,80-84,2021-05-31 19:05:02,26.0
1,85-n,2021-05-31 19:05:02,13.0
2,00-17,2021-05-31 19:05:02,5528.999999999992
2,18-19,2021-05-31 19:05:02,9297.613095237995
2,20-24,2021-05-31 19:05:02,26097.00833333339
2,25-29,2021-05-31 19:05:02,33608.898260073336
2,30-34,2021-05-31 19:05:02,59744.459307359466
2,35-39,2021-05-31 19:05:02,77862.57538964335
2,40-44,2021-05-31 19:05:02,95778.77007138278
2,45-49,2021-05-31 19:05:02,101098.91784316568
2,50-54,2021-05-31 19:05:02,90819.19015151466
2,55-59,2021-05-31 19:05:02,99251.87143134522
2,60-64,2021-05-31 19:05:02,60308.060139206566
2,65-69,2021-05-31 19:05:02,34114.473593073584
2,70-74,2021-05-31 19:05:02,11528.367460317519
2,75-79,2021-05-31 19:05:02,5624.666666666662
2,80-84,2021-05-31 19:05:02,3127.466666666665
2,85-n,2021-05-31 19:05:02,1754.0000000000023
1,00-17,2021-06-01 19:05:02,13034.999999999998
1,18-19,2021-06-01 19:05:02,11452.66666666667
1,20-24,2021-06-01 19:05:02,25778.58333333326
1,25-29,2021-06-01 19:05:02,18933.000000000065
1,30-34,2021-06-01 19:05:02,12323.333333333409
1,35-39,2021-06-01 19:05:02,6399.999999999952
1,40-44,2021-06-01 19:05:02,3690.833333333338
1,45-49,2021-06-01 19:05:02,2085.499999999996
1,50-54,2021-06-01 19:05:02,1418.9999999999993
1,55-59,2021-06-01 19:05:02,1418.0000000000016
1,60-64,2021-06-01 19:05:02,741.7500000000011
1,65-69,2021-06-01 19:05:02,341.74999999999994
1,70-74,2021-06-01 19:05:02,159.50000000000003
1,75-79,2021-06-01 19:05:02,60.000000000000036
1,80-84,2021-06-01 19:05:02,33.999999999999986
1,85-n,2021-06-01 19:05:02,12.999999999999991
2,00-17,2021-06-01 19:05:02,5634.999999999985
2,18-19,2021-06-01 19:05:02,9221.613095237895
2,20-24,2021-06-01 19:05:02,25707.508333333048
2,25-29,2021-06-01 19:05:02,33271.14826007361
2,30-34,2021-06-01 19:05:02,59918.27597402529
2,35-39,2021-06-01 19:05:02,76522.57538964332
2,40-44,2021-06-01 19:05:02,94426.2700713845
2,45-49,2021-06-01 19:05:02,96434.26546221288
2,50-54,2021-06-01 19:05:02,85816.10681818092
2,55-59,2021-06-01 19:05:02,92195.03809801262
2,60-64,2021-06-01 19:05:02,50321.74931669613
2,65-69,2021-06-01 19:05:02,28785.676767676756
2,70-74,2021-06-01 19:05:02,9792.700793650818
2,75-79,2021-06-01 19:05:02,4805.500000000015
2,80-84,2021-06-01 19:05:02,2656.4666666666676
2,85-n,2021-06-01 19:05:02,1436.0000000000011
1,00-17,2021-06-02 19:05:02,13160.999999999945
1,18-19,2021-06-02 19:05:02,11622.66666666673
1,20-24,2021-06-02 19:05:02,26229.583333333307
1,25-29,2021-06-02 19:05:02,17305.99999999996
1,30-34,2021-06-02 19:05:02,10541.33333333343
1,35-39,2021-06-02 19:05:02,5241.999999999956
1,40-44,2021-06-02 19:05:02,3128.8333333333358
1,45-49,2021-06-02 19:05:02,1955.499999999994
1,50-54,2021-06-02 19:05:02,1616.9999999999993
1,55-59,2021-06-02 19:05:02,1588.9999999999989
1,60-64,2021-06-02 19:05:02,737.7500000000013
1,65-69,2021-06-02 19:05:02,216.75000000000003
1,70-74,2021-06-02 19:05:02,99.49999999999999
1,75-79,2021-06-02 19:05:02,49.00000000000002
1,80-84,2021-06-02 19:05:02,20.0
1,85-n,2021-06-02 19:05:02,9.0
2,00-17,2021-06-02 19:05:02,5856.999999999974
2,18-19,2021-06-02 19:05:02,9051.613095238034
2,20-24,2021-06-02 19:05:02,25856.024999999525
2,25-29,2021-06-02 19:05:02,35084.433974359185
2,30-34,2021-06-02 19:05:02,60861.35930735943
2,35-39,2021-06-02 19:05:02,75749.84145299095
2,40-44,2021-06-02 19:05:02,93052.87483328955
2,45-49,2021-06-02 19:05:02,91929.52736697448
2,50-54,2021-06-02 19:05:02,78216.9080086576
2,55-59,2021-06-02 19:05:02,79921.58690476076
2,60-64,2021-06-02 19:05:02,33706.169769119486
2,65-69,2021-06-02 19:05:02,17852.754545454656
2,70-74,2021-06-02 19:05:02,8483.700793650789
2,75-79,2021-06-02 19:05:02,4259.500000000008
2,80-84,2021-06-02 19:05:02,2327.799999999996
2,85-n,2021-06-02 19:05:02,1270.0000000000005
1,00-17,2021-06-03 22:57:45,11417.000000000062
